RSI,ULTOSC,STOCHRSI,+DI,-DI,ROC,PD,CHANGE
63.172,60.8038,96.9531,27.1597,19.8366,0.3488,0.6,0
54.9614,58.1303,34.3463,21.7365,18.9692,0.1622,-0.6,1
50.4525,48.4252,27.7852,19.1452,17.3942,-0.2523,-0.2,1
55.3008,45.9552,52.8808,20.2556,14.8943,0.0175,0.2,0
52.6077,47.5768,16.4517,21.7061,13.6995,0.1396,-0.2,0
42.3845,38.8401,0.0,19.762,17.0787,-0.2126,-0.6,1
41.2733,41.7233,44.4313,21.8429,22.5955,-0.3553,-0.2,1
67.6451,58.7121,86.6602,35.4099,16.9419,0.5966,0.6,0
58.0523,56.1989,58.0198,28.1239,19.3252,0.4262,-0.6,1
57.4378,59.5572,32.3097,29.0404,15.946,0.0455,0.2,0
56.6452,49.9387,19.8803,27.1243,14.2576,0.1003,-0.6,1
56.6452,0.0,0.0,27.1243,14.2576,0.0,0.0,1
99.2859,20.7416,15.9591,88.95,2.1619,0.1838,0.2,0
73.1902,62.7427,66.971,52.9931,0.3175,0.7372,0.2,0
42.5761,31.5283,1.4416,31.1575,25.3315,-0.4629,-1.0,1
50.4816,40.8034,65.6379,23.5905,20.3689,-0.4039,-0.2,1
51.5529,47.8167,52.1628,20.6129,13.5399,0.1845,0.2,0
49.7728,38.3995,43.4294,18.3263,12.9268,0.0019,0.6,1
31.0495,30.8152,12.0793,14.3588,25.1442,-0.3696,-0.6,1
62.067,56.2555,77.9809,29.855,17.9065,0.0357,0.6,1
63.7613,64.0115,64.8176,25.1121,17.1203,0.5739,0.2,0
53.6943,64.5547,18.3613,26.2739,14.1217,0.0186,-0.2,0
50.3535,50.2814,24.9063,25.3642,16.1146,-0.0747,-0.2,0
41.4482,40.1504,1.633,20.8324,21.8821,-0.1897,0.0,1
37.2788,34.7002,16.8998,14.8122,21.8738,-0.2498,-0.2,1
54.3007,57.3476,99.6012,19.0474,21.8743,0.061,0.2,0
58.1678,54.2345,87.0681,22.2791,22.8263,0.318,0.2,0
51.693,56.9621,70.2929,18.8097,23.1863,-0.0902,-0.2,1
48.3062,58.739,16.7064,18.8617,24.3875,-0.0609,-0.2,1
57.562,55.918,33.6395,21.3518,21.127,0.1172,-0.2,0
51.682,43.3905,69.7602,20.6159,22.6633,-0.0401,-0.6,0
39.5808,34.4642,20.1578,13.3163,27.7755,-0.336,-0.2,0
21.71,25.3858,16.6085,8.4806,35.356,-0.7346,-0.6,1
35.1191,44.2544,47.0929,10.9661,28.0702,-0.4267,-0.2,1
50.5243,44.8182,99.9904,17.8534,21.8397,0.2529,0.6,1
56.9051,47.8308,100.0,21.2251,21.1464,0.327,0.2,1
54.7261,43.719,61.6628,21.8092,16.1221,0.1017,-0.2,1
67.3749,57.0983,89.5894,28.4735,14.4416,0.2355,0.6,1
78.268,72.6242,78.974,44.7906,11.6515,1.0035,0.2,1
73.4287,56.5255,61.4485,41.1761,12.9907,0.8555,0.2,1
73.6891,58.4695,99.9896,36.44,12.4053,0.1367,-0.2,0
64.5578,44.9864,23.8693,29.4847,12.4273,-0.0107,-0.2,0
44.1464,43.0279,29.7853,20.4261,22.6118,-0.2444,-0.6,1
46.8507,43.7798,45.7301,19.0024,20.3497,-0.1812,0.2,0
44.458,39.7554,3.5693,19.1752,16.0274,-0.05,-0.2,0
39.834,29.4183,27.5021,12.7707,22.5489,-0.1673,-0.2,0
28.8293,31.7203,34.5793,7.9463,32.434,-0.4564,-0.2,1
36.1774,35.9019,26.1006,9.3972,27.8036,-0.3506,0.2,0
46.4077,46.4107,69.2717,11.8389,21.0155,-0.0248,0.2,0
